						9	9	9						
				9	9	9	15	9	9	9				
			9	9	16	15	16	15	16	9	9			
		9	15	16	15	16	15	16	15	16	15	9		
	9	9	16	15	16	15	16	15	16	15	16	9	9	
	9	16	15	16	15	16	15	16	15	16	15	16	9	
9	9	15	16	15	16	15	16	15	16	15	16	15	9	9
9	15	16	15	16	15	16	15	16	15	16	15	16	15	9
9	9	15	16	15	16	15	16	15	16	15	16	15	9	9
	9	16	15	16	15	16	15	16	15	16	15	16	9	
	9	9	16	15	16	15	16	15	16	15	16	9	9	
		9	15	16	15	16	15	16	15	16	15	9		
			9	9	16	15	16	15	16	9	9			
				9	9	9	15	9	9	9				
						9	9	9						
